cleaned_full_text,indexed_text
woi anak magang yg cakep itu yg dri lantai yg klo berangkat ama pulang selalu bareng ama gua gara jurusan busway tbtb tiktok nya lewat di gua wkwkwkwk hampir bln gua baru tau namanya wkwkwk,[0]woi [1]anak [2]magang [3]yg [4]cakep [5]itu [6]yg [7]dri [8]lantai [9]yg [10]klo [11]berangkat [12]ama [13]pulang [14]selalu [15]bareng [16]ama [17]gua [18]gara [19]jurusan [20]busway [21]tbtb [22]tiktok [23]nya [24]lewat [25]di [26]gua [27]wkwkwkwk [28]hampir [29]bln [30]gua [31]baru [32]tau [33]namanya [34]wkwkwk
kenapa tracking bis k nya error yaa dari pagi sampe sekarang mau siang masih error,[0]kenapa [1]tracking [2]bis [3]k [4]nya [5]error [6]yaa [7]dari [8]pagi [9]sampe [10]sekarang [11]mau [12]siang [13]masih [14]error
gw bukan orang tua sampe sekarang masih nyebutnya busway kok bodo amat,[0]gw [1]bukan [2]orang [3]tua [4]sampe [5]sekarang [6]masih [7]nyebutnya [8]busway [9]kok [10]bodo [11]amat
mjb izin nanyaa kak kalau mau ke kuncit dari st tebet naik busway itu turunnya di halte apa yah,[0]mjb [1]izin [2]nanyaa [3]kak [4]kalau [5]mau [6]ke [7]kuncit [8]dari [9]st [10]tebet [11]naik [12]busway [13]itu [14]turunnya [15]di [16]halte [17]apa [18]yah
penerapan tarif khusus rupiah pada moda transportasi bus transjakarta di momen pelantikan presiden dan wakil presiden terpilih mendapat antusias tinggi dari masyarakat banyak dari mereka yang berbondongbondong menggunakan bus transjakarta menuju kawasan bundaran hi demi,[0]penerapan [1]tarif [2]khusus [3]rupiah [4]pada [5]moda [6]transportasi [7]bus [8]transjakarta [9]di [10]momen [11]pelantikan [12]presiden [13]dan [14]wakil [15]presiden [16]terpilih [17]mendapat [18]antusias [19]tinggi [20]dari [21]masyarakat [22]banyak [23]dari [24]mereka [25]yang [26]berbondongbondong [27]menggunakan [28]bus [29]transjakarta [30]menuju [31]kawasan [32]bundaran [33]hi [34]demi
livery spesial an tahun ini mulai beredar transjakarta wisata tj pt transportasi jakarta mercedesbenz ocrf new armada highlander livery special labuan bajo karya ryan adi cahyanto bw jakarta skyscrapers irti monas bundaran senayan cc,[0]livery [1]spesial [2]an [3]tahun [4]ini [5]mulai [6]beredar [7]transjakarta [8]wisata [9]tj [10]pt [11]transportasi [12]jakarta [13]mercedesbenz [14]ocrf [15]new [16]armada [17]highlander [18]livery [19]special [20]labuan [21]bajo [22]karya [23]ryan [24]adi [25]cahyanto [26]bw [27]jakarta [28]skyscrapers [29]irti [30]monas [31]bundaran [32]senayan [33]cc
menahan bilang kangen ke bestie semasa kuliahku soalnya gak bisa ketemu jauh bgt dia di jepang gak bisa naik krlbusway kesanaaa hikd,[0]menahan [1]bilang [2]kangen [3]ke [4]bestie [5]semasa [6]kuliahku [7]soalnya [8]gak [9]bisa [10]ketemu [11]jauh [12]bgt [13]dia [14]di [15]jepang [16]gak [17]bisa [18]naik [19]krlbusway [20]kesanaaa [21]hikd
min klo dari aeon jgc mau ke harapan indah transera rute nya sekarang gimana,[0]min [1]klo [2]dari [3]aeon [4]jgc [5]mau [6]ke [7]harapan [8]indah [9]transera [10]rute [11]nya [12]sekarang [13]gimana
pemprov jakarta berencana untuk menghapus rute transjakarta blok mkota karena bersinggungan dengan mrt pks meminta agar tarif mrt harus turun,[0]pemprov [1]jakarta [2]berencana [3]untuk [4]menghapus [5]rute [6]transjakarta [7]blok [8]mkota [9]karena [10]bersinggungan [11]dengan [12]mrt [13]pks [14]meminta [15]agar [16]tarif [17]mrt [18]harus [19]turun
sobat jakarta sudah tahu belum beberapa waktu lalu pt transportasi jakarta transjakarta baru saja menambahkan unit bus jenis ev electrice vehicle lho,[0]sobat [1]jakarta [2]sudah [3]tahu [4]belum [5]beberapa [6]waktu [7]lalu [8]pt [9]transportasi [10]jakarta [11]transjakarta [12]baru [13]saja [14]menambahkan [15]unit [16]bus [17]jenis [18]ev [19]electrice [20]vehicle [21]lho
private transjakarta khusus wanita udah halte isinya masih gue doang si extrovert ini menemani bapak supir ngobrol,[0]private [1]transjakarta [2]khusus [3]wanita [4]udah [5]halte [6]isinya [7]masih [8]gue [9]doang [10]si [11]extrovert [12]ini [13]menemani [14]bapak [15]supir [16]ngobrol
naik tj transit mam burjo benar benar baru pertama kali hahaha burjo depan stis,[0]naik [1]tj [2]transit [3]mam [4]burjo [5]benar [6]benar [7]baru [8]pertama [9]kali [10]hahaha [11]burjo [12]depan [13]stis
personil lantas polsek ciputat timur koordinasi dengan pihak spbu ciputat agar antrean pengisian bbm bus bianglala dan transjakarta tidak menimbulkan kemacetan,[0]personil [1]lantas [2]polsek [3]ciputat [4]timur [5]koordinasi [6]dengan [7]pihak [8]spbu [9]ciputat [10]agar [11]antrean [12]pengisian [13]bbm [14]bus [15]bianglala [16]dan [17]transjakarta [18]tidak [19]menimbulkan [20]kemacetan
yaudah kalo gitu gausah kesel sm statement gw bang kl gw mau nya naik mobil aja org gw isi bensin ga pake duit lu kl soal safety transjakarta udh berbenah sodara gw hp nya di copet tuh waktu bulan lalu pas naik tj trs banyak kasus pelecehan di tj listen not judge,[0]yaudah [1]kalo [2]gitu [3]gausah [4]kesel [5]sm [6]statement [7]gw [8]bang [9]kl [10]gw [11]mau [12]nya [13]naik [14]mobil [15]aja [16]org [17]gw [18]isi [19]bensin [20]ga [21]pake [22]duit [23]lu [24]kl [25]soal [26]safety [27]transjakarta [28]udh [29]berbenah [30]sodara [31]gw [32]hp [33]nya [34]di [35]copet [36]tuh [37]waktu [38]bulan [39]lalu [40]pas [41]naik [42]tj [43]trs [44]banyak [45]kasus [46]pelecehan [47]di [48]tj [49]listen [50]not [51]judge
the exact scenario gw sama mba chindo dua orang sebelah gw di salah satu jurusan transjakarta,[0]the [1]exact [2]scenario [3]gw [4]sama [5]mba [6]chindo [7]dua [8]orang [9]sebelah [10]gw [11]di [12]salah [13]satu [14]jurusan [15]transjakarta
rute d ada perubahan min,[0]rute [1]d [2]ada [3]perubahan [4]min
fak men itu celana yg bakal gw pakai di tgl beneran gak boong dah gw beli kemarin baru ngasih tau kak an dia ketawa doang di busway ini tiba di pakai woozi gimana ceritanya,[0]fak [1]men [2]itu [3]celana [4]yg [5]bakal [6]gw [7]pakai [8]di [9]tgl [10]beneran [11]gak [12]boong [13]dah [14]gw [15]beli [16]kemarin [17]baru [18]ngasih [19]tau [20]kak [21]an [22]dia [23]ketawa [24]doang [25]di [26]busway [27]ini [28]tiba [29]di [30]pakai [31]woozi [32]gimana [33]ceritanya
mau req certified transjakarta survivor,[0]mau [1]req [2]certified [3]transjakarta [4]survivor
aku udah bangun pagi biar gak telat naik busway tapi kenapa harus mules sih,[0]aku [1]udah [2]bangun [3]pagi [4]biar [5]gak [6]telat [7]naik [8]busway [9]tapi [10]kenapa [11]harus [12]mules [13]sih
gak semuanya tau nama halte tj sekarang udah pada berubah termasuk akuu yg kurang update untuk ini mau ke kpp biasa turunnya di halte harkit lagi balesin chat ngeh annouce nya halte kota bambu literally me hah ini kota bambu dimanaa,[0]gak [1]semuanya [2]tau [3]nama [4]halte [5]tj [6]sekarang [7]udah [8]pada [9]berubah [10]termasuk [11]akuu [12]yg [13]kurang [14]update [15]untuk [16]ini [17]mau [18]ke [19]kpp [20]biasa [21]turunnya [22]di [23]halte [24]harkit [25]lagi [26]balesin [27]chat [28]ngeh [29]annouce [30]nya [31]halte [32]kota [33]bambu [34]literally [35]me [36]hah [37]ini [38]kota [39]bambu [40]dimanaa
bisa ngikutin trend di halte busway atauga di parkiran motor,[0]bisa [1]ngikutin [2]trend [3]di [4]halte [5]busway [6]atauga [7]di [8]parkiran [9]motor
hari ini mau ke tiny tan udah siapin freebies tapi ketinggalan di busway woylah min bales dm saya min,[0]hari [1]ini [2]mau [3]ke [4]tiny [5]tan [6]udah [7]siapin [8]freebies [9]tapi [10]ketinggalan [11]di [12]busway [13]woylah [14]min [15]bales [16]dm [17]saya [18]min
deret parkiran ada mobil dari foto ini aja ada deret parkiran harga s class paling murah m totalannya bisa beli volvo br transjakarta biji fasilitas umum yg bisa dirasain ribuan org dikorbanin cm buat an org yg kita bayar buat ngelayanin kita wkwkw,[0]deret [1]parkiran [2]ada [3]mobil [4]dari [5]foto [6]ini [7]aja [8]ada [9]deret [10]parkiran [11]harga [12]s [13]class [14]paling [15]murah [16]m [17]totalannya [18]bisa [19]beli [20]volvo [21]br [22]transjakarta [23]biji [24]fasilitas [25]umum [26]yg [27]bisa [28]dirasain [29]ribuan [30]org [31]dikorbanin [32]cm [33]buat [34]an [35]org [36]yg [37]kita [38]bayar [39]buat [40]ngelayanin [41]kita [42]wkwkw
kak usul dong mesin tap kartu di bus c ditambah jangan cuma trus mesinnya yg proses nya cepet kek bus di singapura jd ga buang waktu nunggu tap in tap out penumpang,[0]kak [1]usul [2]dong [3]mesin [4]tap [5]kartu [6]di [7]bus [8]c [9]ditambah [10]jangan [11]cuma [12]trus [13]mesinnya [14]yg [15]proses [16]nya [17]cepet [18]kek [19]bus [20]di [21]singapura [22]jd [23]ga [24]buang [25]waktu [26]nunggu [27]tap [28]in [29]tap [30]out [31]penumpang
segitu sakralkah busway sampe pendapat orang dianggap kriminal,[0]segitu [1]sakralkah [2]busway [3]sampe [4]pendapat [5]orang [6]dianggap [7]kriminal
lama banget busway yg ke arah cibubur,[0]lama [1]banget [2]busway [3]yg [4]ke [5]arah [6]cibubur
hai kak silakan naik koridor turun di halte cawang sentral lalu berpindah ke bus stop cawang sentral untuk naik rute jak ya untuk informasi rute selengkapnya dapat diakses melalui aplikasi tj transjakarta ya terima kasih yj,[0]hai [1]kak [2]silakan [3]naik [4]koridor [5]turun [6]di [7]halte [8]cawang [9]sentral [10]lalu [11]berpindah [12]ke [13]bus [14]stop [15]cawang [16]sentral [17]untuk [18]naik [19]rute [20]jak [21]ya [22]untuk [23]informasi [24]rute [25]selengkapnya [26]dapat [27]diakses [28]melalui [29]aplikasi [30]tj [31]transjakarta [32]ya [33]terima [34]kasih [35]yj
pakabar yg lg di busway,[0]pakabar [1]yg [2]lg [3]di [4]busway
yg pasti sih yg gua liat itu pas posko kebakaran manggarai cuma keliatan satu logo partai doang kaga nengok ada yg lain biasa liat dr jembatan yg arah ke halte tj,[0]yg [1]pasti [2]sih [3]yg [4]gua [5]liat [6]itu [7]pas [8]posko [9]kebakaran [10]manggarai [11]cuma [12]keliatan [13]satu [14]logo [15]partai [16]doang [17]kaga [18]nengok [19]ada [20]yg [21]lain [22]biasa [23]liat [24]dr [25]jembatan [26]yg [27]arah [28]ke [29]halte [30]tj
hei sobat transport mana lagi nih yang ikutan giveawaynya lumayan loh saldonya bisa buat naik krl busway atau bayar parkir dan masih banyak hal lainya juga buruan yuk besok terakhir,[0]hei [1]sobat [2]transport [3]mana [4]lagi [5]nih [6]yang [7]ikutan [8]giveawaynya [9]lumayan [10]loh [11]saldonya [12]bisa [13]buat [14]naik [15]krl [16]busway [17]atau [18]bayar [19]parkir [20]dan [21]masih [22]banyak [23]hal [24]lainya [25]juga [26]buruan [27]yuk [28]besok [29]terakhir
halo mimin mohon infokan ke teknisi steady safe klender bahwa unit saf tv belakangnya hampir copot mohon infokan dan dibenerin ya makasih,[0]halo [1]mimin [2]mohon [3]infokan [4]ke [5]teknisi [6]steady [7]safe [8]klender [9]bahwa [10]unit [11]saf [12]tv [13]belakangnya [14]hampir [15]copot [16]mohon [17]infokan [18]dan [19]dibenerin [20]ya [21]makasih
yes my crush is bis transjakarta,[0]yes [1]my [2]crush [3]is [4]bis [5]transjakarta
min ini sampe bercengkrama dengan penumpang jak ini susah banget sekarang cuma armada tambahin lagi dong dari kmj,[0]min [1]ini [2]sampe [3]bercengkrama [4]dengan [5]penumpang [6]jak [7]ini [8]susah [9]banget [10]sekarang [11]cuma [12]armada [13]tambahin [14]lagi [15]dong [16]dari [17]kmj
malam min mau tanya kalau dari cawang sentral mau ke puri indah mall naiknya koridor apa ya,[0]malam [1]min [2]mau [3]tanya [4]kalau [5]dari [6]cawang [7]sentral [8]mau [9]ke [10]puri [11]indah [12]mall [13]naiknya [14]koridor [15]apa [16]ya
infotransjakarta rute m kampung melayu pulo gebang di halte flyover jatinegara telah beroperasi normal kembali melayani pelanggan jaki perlutahu rutem,[0]infotransjakarta [1]rute [2]m [3]kampung [4]melayu [5]pulo [6]gebang [7]di [8]halte [9]flyover [10]jatinegara [11]telah [12]beroperasi [13]normal [14]kembali [15]melayani [16]pelanggan [17]jaki [18]perlutahu [19]rutem
i actually find ngedit foto amp make sure color tonenya sesuai tuh relaxing amp satisfying apalagi kalau lagi gabut di tj,[0]i [1]actually [2]find [3]ngedit [4]foto [5]amp [6]make [7]sure [8]color [9]tonenya [10]sesuai [11]tuh [12]relaxing [13]amp [14]satisfying [15]apalagi [16]kalau [17]lagi [18]gabut [19]di [20]tj
min apa ada rute tj dr stasiun sudirman ke epicentrum,[0]min [1]apa [2]ada [3]rute [4]tj [5]dr [6]stasiun [7]sudirman [8]ke [9]epicentrum
kak b summarecon bekasi ada gak ya weekend,[0]kak [1]b [2]summarecon [3]bekasi [4]ada [5]gak [6]ya [7]weekend
sebagai priyayi solo sebenarnya sungkan makan di warung terbuka tanpa meja gini tapi cuaca begitu dingin dan soto begitu menggoda dan ternyata ini soto lamongan terenak se jaksel lokasi terminal transjakarta ragunan,[0]sebagai [1]priyayi [2]solo [3]sebenarnya [4]sungkan [5]makan [6]di [7]warung [8]terbuka [9]tanpa [10]meja [11]gini [12]tapi [13]cuaca [14]begitu [15]dingin [16]dan [17]soto [18]begitu [19]menggoda [20]dan [21]ternyata [22]ini [23]soto [24]lamongan [25]terenak [26]se [27]jaksel [28]lokasi [29]terminal [30]transjakarta [31]ragunan
flazz gue pilih kasih dah dia cuma cepet kalo di reader mrt sama that one reader from transjakarta gatau jenisnya,[0]flazz [1]gue [2]pilih [3]kasih [4]dah [5]dia [6]cuma [7]cepet [8]kalo [9]di [10]reader [11]mrt [12]sama [13]that [14]one [15]reader [16]from [17]transjakarta [18]gatau [19]jenisnya
mba nya geblek kan aku minta tunggu td malah sibuk maen hp jd ketinggalan busway lama lg nunggunya mana ini udah mepet,[0]mba [1]nya [2]geblek [3]kan [4]aku [5]minta [6]tunggu [7]td [8]malah [9]sibuk [10]maen [11]hp [12]jd [13]ketinggalan [14]busway [15]lama [16]lg [17]nunggunya [18]mana [19]ini [20]udah [21]mepet
mw curhat ganci hoon aku ilang hiksss tadi pagi di tj sebel bgtt aaaa mau nangis msh kepikiran,[0]mw [1]curhat [2]ganci [3]hoon [4]aku [5]ilang [6]hiksss [7]tadi [8]pagi [9]di [10]tj [11]sebel [12]bgtt [13]aaaa [14]mau [15]nangis [16]msh [17]kepikiran
traffic busway pagi ini mengingatkan aku pada osaka loop line mggu kmrn,[0]traffic [1]busway [2]pagi [3]ini [4]mengingatkan [5]aku [6]pada [7]osaka [8]loop [9]line [10]mggu [11]kmrn
halte dukuh atas nyambung gak ya sama mrt dukuh atas,[0]halte [1]dukuh [2]atas [3]nyambung [4]gak [5]ya [6]sama [7]mrt [8]dukuh [9]atas
haduh haduh saking gak bisa tempel sana sini kubu rk udh hilang akal bagi bagiin stiker adu domba ini ke warga jakarta yg naik busway super sarap ini mah rdonstajendes rdo sakt jendes ara sara for rdo jendes tolak rdo judol for rdo ikut pilihan hrs,[0]haduh [1]haduh [2]saking [3]gak [4]bisa [5]tempel [6]sana [7]sini [8]kubu [9]rk [10]udh [11]hilang [12]akal [13]bagi [14]bagiin [15]stiker [16]adu [17]domba [18]ini [19]ke [20]warga [21]jakarta [22]yg [23]naik [24]busway [25]super [26]sarap [27]ini [28]mah [29]rdonstajendes [30]rdo [31]sakt [32]jendes [33]ara [34]sara [35]for [36]rdo [37]jendes [38]tolak [39]rdo [40]judol [41]for [42]rdo [43]ikut [44]pilihan [45]hrs
dikit aja sambil temenin gua nunggu tj,[0]dikit [1]aja [2]sambil [3]temenin [4]gua [5]nunggu [6]tj
halte transjakarta terdekat dari gedung anri adalah halte mangga besar dari sini kamu bisa berjalan kaki sekitar satu kilometer menuju anri,[0]halte [1]transjakarta [2]terdekat [3]dari [4]gedung [5]anri [6]adalah [7]halte [8]mangga [9]besar [10]dari [11]sini [12]kamu [13]bisa [14]berjalan [15]kaki [16]sekitar [17]satu [18]kilometer [19]menuju [20]anri
sore kak konfirmasi laporan sebelumnya mengenai adanya kendala di bus tj saat ini sudah dilakukan perbaikan perbaikan kabel ground terima kasih sj,[0]sore [1]kak [2]konfirmasi [3]laporan [4]sebelumnya [5]mengenai [6]adanya [7]kendala [8]di [9]bus [10]tj [11]saat [12]ini [13]sudah [14]dilakukan [15]perbaikan [16]perbaikan [17]kabel [18]ground [19]terima [20]kasih [21]sj
normalkah nangis di tj grgr kebaikan ecommerce,[0]normalkah [1]nangis [2]di [3]tj [4]grgr [5]kebaikan [6]ecommerce
rute ini pertama kali beroperasi pada mei dengan memperpanjang layanan transjakarta koridor sampai bekasi tujuannya diperpanjang sampai bekasi untuk meningkatkan pelayanan serta memudahkan masyarakat yang ada di luar jakarta dalam menggunakan transjakarta,[0]rute [1]ini [2]pertama [3]kali [4]beroperasi [5]pada [6]mei [7]dengan [8]memperpanjang [9]layanan [10]transjakarta [11]koridor [12]sampai [13]bekasi [14]tujuannya [15]diperpanjang [16]sampai [17]bekasi [18]untuk [19]meningkatkan [20]pelayanan [21]serta [22]memudahkan [23]masyarakat [24]yang [25]ada [26]di [27]luar [28]jakarta [29]dalam [30]menggunakan [31]transjakarta
hai min mau tanya untuk tj rute h dan h apakah beroperasi di hari sabtu jam operasionalnya dari jam berapa ya,[0]hai [1]min [2]mau [3]tanya [4]untuk [5]tj [6]rute [7]h [8]dan [9]h [10]apakah [11]beroperasi [12]di [13]hari [14]sabtu [15]jam [16]operasionalnya [17]dari [18]jam [19]berapa [20]ya
min mau tanya kalo mau ke centennial tower dari stasiun krl cawang naik bisa naik busway nomer berapa dan turun dimana ya,[0]min [1]mau [2]tanya [3]kalo [4]mau [5]ke [6]centennial [7]tower [8]dari [9]stasiun [10]krl [11]cawang [12]naik [13]bisa [14]naik [15]busway [16]nomer [17]berapa [18]dan [19]turun [20]dimana [21]ya
infotransjakarta layanan rute d tanah abang ps minggu sementara mengalami pengalihan rute dikarenakan adanya kegiatan hbkb di kawasan sudirmanthamrin sementara arah pasar minggu tidak melayani plang bus stop jambatan serong sd bendungan hilir jaki perlutahu ruted,[0]infotransjakarta [1]layanan [2]rute [3]d [4]tanah [5]abang [6]ps [7]minggu [8]sementara [9]mengalami [10]pengalihan [11]rute [12]dikarenakan [13]adanya [14]kegiatan [15]hbkb [16]di [17]kawasan [18]sudirmanthamrin [19]sementara [20]arah [21]pasar [22]minggu [23]tidak [24]melayani [25]plang [26]bus [27]stop [28]jambatan [29]serong [30]sd [31]bendungan [32]hilir [33]jaki [34]perlutahu [35]ruted
halte tj krl terdekat ke cibubur apa ya kalo misal aku dari tanah abang,[0]halte [1]tj [2]krl [3]terdekat [4]ke [5]cibubur [6]apa [7]ya [8]kalo [9]misal [10]aku [11]dari [12]tanah [13]abang
halo guys ada yang kenal maybe tadi sempet nemu id card jatuh di tj,[0]halo [1]guys [2]ada [3]yang [4]kenal [5]maybe [6]tadi [7]sempet [8]nemu [9]id [10]card [11]jatuh [12]di [13]tj
gue pusing banget lagi di tj ngeliatin tl gue isinya muka secantik ini non stop,[0]gue [1]pusing [2]banget [3]lagi [4]di [5]tj [6]ngeliatin [7]tl [8]gue [9]isinya [10]muka [11]secantik [12]ini [13]non [14]stop
min mau tanya rute le arah kuningan masih peralihan jalan ga ya,[0]min [1]mau [2]tanya [3]rute [4]le [5]arah [6]kuningan [7]masih [8]peralihan [9]jalan [10]ga [11]ya
halo min tolong infokan ke teknisi steady safe jembatan gantung bahwa unit saf di tv belakangnya hampir mau copot tolong kasih tau dan benerin min makasih,[0]halo [1]min [2]tolong [3]infokan [4]ke [5]teknisi [6]steady [7]safe [8]jembatan [9]gantung [10]bahwa [11]unit [12]saf [13]di [14]tv [15]belakangnya [16]hampir [17]mau [18]copot [19]tolong [20]kasih [21]tau [22]dan [23]benerin [24]min [25]makasih
apes bgt lah anjing mau naik busway kartu segala ketinggalan dirumah mana fitur beli tiket tj lg error,[0]apes [1]bgt [2]lah [3]anjing [4]mau [5]naik [6]busway [7]kartu [8]segala [9]ketinggalan [10]dirumah [11]mana [12]fitur [13]beli [14]tiket [15]tj [16]lg [17]error
halo min boleh tlg info kalau mau naik busway dari halte mh thamrin ke matraman bisa naik rute mana saja dan transit dimana saja,[0]halo [1]min [2]boleh [3]tlg [4]info [5]kalau [6]mau [7]naik [8]busway [9]dari [10]halte [11]mh [12]thamrin [13]ke [14]matraman [15]bisa [16]naik [17]rute [18]mana [19]saja [20]dan [21]transit [22]dimana [23]saja
rute b dr jam gk lewat ke arah blok m ni gmn ya pdhl blm jam saya di kramat jati,[0]rute [1]b [2]dr [3]jam [4]gk [5]lewat [6]ke [7]arah [8]blok [9]m [10]ni [11]gmn [12]ya [13]pdhl [14]blm [15]jam [16]saya [17]di [18]kramat [19]jati
kata guamah masih mendingan naik busway turun di tebet ecopark lalu jaluan gofud dah itu dr tuku tebet,[0]kata [1]guamah [2]masih [3]mendingan [4]naik [5]busway [6]turun [7]di [8]tebet [9]ecopark [10]lalu [11]jaluan [12]gofud [13]dah [14]itu [15]dr [16]tuku [17]tebet
bang liattt cewe lu effort bangett padahal harusnya naik busway relaa transit di manggarai demi mengejar mogu pledis,[0]bang [1]liattt [2]cewe [3]lu [4]effort [5]bangett [6]padahal [7]harusnya [8]naik [9]busway [10]relaa [11]transit [12]di [13]manggarai [14]demi [15]mengejar [16]mogu [17]pledis
lagi macet di busway biasa kepalanya ga bisa diem tibatiba jadi keinget masa kuliah dulu aku tuh ga sepositive thinking sekarang lebih banyak hal negatifnya di kepala yang mana ini tuh akhirnya juga ngaruh banget ke isi hati amp ke sikap aku ke orang lain titik aku tersadar,[0]lagi [1]macet [2]di [3]busway [4]biasa [5]kepalanya [6]ga [7]bisa [8]diem [9]tibatiba [10]jadi [11]keinget [12]masa [13]kuliah [14]dulu [15]aku [16]tuh [17]ga [18]sepositive [19]thinking [20]sekarang [21]lebih [22]banyak [23]hal [24]negatifnya [25]di [26]kepala [27]yang [28]mana [29]ini [30]tuh [31]akhirnya [32]juga [33]ngaruh [34]banget [35]ke [36]isi [37]hati [38]amp [39]ke [40]sikap [41]aku [42]ke [43]orang [44]lain [45]titik [46]aku [47]tersadar
aluminium composite panel aluontop solusi tepat untuk halte busway transjakarta modern amp tahan lama aluminiumcompositepanel aluontop haltebusway transjakarta modern tahanlama estetika pemasanganmudah perawatanrendah infrastrukturtransportasi,[0]aluminium [1]composite [2]panel [3]aluontop [4]solusi [5]tepat [6]untuk [7]halte [8]busway [9]transjakarta [10]modern [11]amp [12]tahan [13]lama [14]aluminiumcompositepanel [15]aluontop [16]haltebusway [17]transjakarta [18]modern [19]tahanlama [20]estetika [21]pemasanganmudah [22]perawatanrendah [23]infrastrukturtransportasi
nunggu jak dri pasar minggu menit lebih ga lewat sama sekali sedangkan yg dri ciganjur udh x lewat dan ya nunggu ampe kejebak hujan angin ampe kuyup ni badan nice jumat juli wib,[0]nunggu [1]jak [2]dri [3]pasar [4]minggu [5]menit [6]lebih [7]ga [8]lewat [9]sama [10]sekali [11]sedangkan [12]yg [13]dri [14]ciganjur [15]udh [16]x [17]lewat [18]dan [19]ya [20]nunggu [21]ampe [22]kejebak [23]hujan [24]angin [25]ampe [26]kuyup [27]ni [28]badan [29]nice [30]jumat [31]juli [32]wib
hai min kalo dari jelambar ke kampung rambutan naik rute apa ya,[0]hai [1]min [2]kalo [3]dari [4]jelambar [5]ke [6]kampung [7]rambutan [8]naik [9]rute [10]apa [11]ya
