No,full_text
20,nunggu TJ lama hampir sejam dan pas nyampe stasiun tebet masih ada 2 TJ alias berangkatnya nunggu tj yg lain nyampe dulu. kalau kaya gini terus bikin tambah lama waktu tunggu di halte min apalagi jam pulang kantor banyak orang + macet. tlg segera dibenahi @PT_Transjakarta https://t.co/GrN3tx5XEd
21,kaget bgt lg jalan di trotoar abs turun busway ada kucink maty ditaro di pinggir jalan bgt kayanya abs ketabrak matanya keluar2
22,Ada unit @PT_Transjakarta MYS 17013 trouble setelah Halte Semanggi arah Pluit. Panggilkan teknisi Mayasari Bakti min.. https://t.co/p0fxRyJ4FK
23,Kenapa pake ganti nama si halte busway sekarang. Salemba UI jadi Salemba Salemba Carolus jadi Paseban. Kalo emang ganti tuh harusnya rekam ulang semua biar bagus bukannya dipotong gt kan intonasinya ga sesuai. 
24,TJ turned to AJ. Iya wuyan dai. 
25,gajelas anjg gua baru dateng ya wajar kali salah antrian tj mas mba nya jutek bgt sambil bilang tadi saya udah teriak ngasih tau itu tj priok lah bujug pas w dateng kaga ada tu informasi apa apa ewwhh tdk ramah bintang 1
26,2 Nov 2024. Panasnya Jakarta. Naik @PT_Transjakarta #Busway My Fav SAF 064 dari Kalideres menuju Pulo Gadung. Tolong donk di atensi AC nya kok gak terasa ya??? Makasih https://t.co/SlMZzhSago
27,hue tadi pagi jg naik tj disebelah rambutnya full ketombean trus dia garuk2 pala dan ketombenya jatoh ke celana gw trs gweh lgsg pindah takut dia ada kutunya jg mau nangis geli bgt kalo diinget2
28,kata lu mending gw naik tj ke gbk apa ke kampus
29,anak kecil yang dulu kalo naik mobil selalu muntah sekarang harus bisa naik busway setiap hari
30,Hari ini ada aja kata gue mah pertama ketinggalan kartu busway dirumah kedua ketinggalan busway sedangkan gue masuk jam 3 
31,krn tweet kakanya ini gua beneran ngecek dong ke busway pink dan emang gak ada
32,Sebelumnya nggak pernah mau misa di Katedral karena ojol Palmerah-Katedral mayan mihil (jarak 9km). Ternyata naik busway sangat mudah dan murah pemirsa cukup 3500 perjalanan kurleb 30menit udah sampai halte Juanda jalan kaki dikit sampai deh di Katedral 
33,pgn bgt naik busway
34,cuy?? barusan BGT di TJ ada copet mau kabur??? RAME BENER
35,Contoh pengendara motor yang menyesal masuk jalur busway karena dikiranya akan lebih cepat dan lengang dibanding jalur kendaraan lain. Mereka terjebak di antrean bus tj sekitar ±5mnt ilustrasinya ya yang harusnya mereka udah sampai cikoko tapi masih stuck di pancoran https://t.co/3rp3j975SS
36,Min @PT_Transjakarta info rute dari baywalk ke JCC dong
37,Pramusapa di TransJakarta? Cerdas abis! Kang Ridwan @ridwankamil bawa solusi buat semua warga. Satu putaran menang kang Emil amiiin! 
38,jakarta harus membuat sebuah anturan dimana bus transjakarta hanya boleh dikemudikan didalam jalurnya. dan kalo ada kendaraan lain selain mobil patroli jalan raya dan mungkin kendaraan perbaikan jalan ketika ditabrak supir transjakarta tak bersalah.
39,Min @PT_Transjakarta koridor 13 CBD Ciledug mulai beroperasi lagi kapan ya min?
40,setoran tipis #mahadayagita #ENIGMA https://t.co/M64jkRlzib
41,Dakota Kai and IYO Sky vs Bianca Belair and Candice LeRae https://t.co/qnYsfOhIYo
42,ka ge ketikannya minta dicium. BAGUS BGT PLS GUA KENAPA HRUS BACANYA PAGI PAGI SI MANA DI BUSWAY
43,La re Lulu Rasebotsa is pro women a ntse a tsenya basadi in pointless debt as an attempt to boost profitability ya airline ya mawaza ya go itsiwe ka di delay and inflated ticket prices? Gotlhe le profitability ya Banka ya Nigeria? No ways. Re heletswe ke matlhale
44,Muscle memory udah terbiasa belok ke busway.
45,KEGOBLOKAN @DKIJakarta so far woi @PT_Transjakarta tolong lah dikaji ulang negara tetangga aje(malay) ngiri sama tj lainih goblok malah dikurangin
46,Min @PT_Transjakarta rute dari sunter kelapa gading ke pulo gadung dong plis
47,guys ada yg pernah ke perpustakaan cikini gak ya? naik apa kl busway kesana?
48,Kelepasan ketawa di busway gara² 40 amin 
49,mau ke mampang prapatan dr monas gmn ya min rutenya @PT_Transjakarta
50,Kerja jadi Onboard/PLB busway jaman dulu tuh ya musuh terberatnya copet bukan banyaknya penumpang sesek sesekan. Apa lg klo pnp kecopetan trus minta seisi tije diperiksa. Harus sabar ya lapor Korlap lapor halte ngadapin pnp yg bete krn diperiksa. Serba salah tp tugas 
51,Min @PT_Transjakarta Jalan Sasak ada rekayasa lalin sehingga dilihkan via Joglo. Halte Puri Beta beroperasi ngga?
52,Emang gbsa ya anjer nake busway sendiri nyasar niat hati naek no.9 karna ada bus berhenti di pintu yg mau aku naekin naek aja wkwk padahal salah jurusan 
53,Ga setuju separator busway dibuka. Naik kendaraan pribadi resikonya ya macet
54,abis coba ke uin naik buswayy overall sih enak gusy tp paling ak hrs mengorbankan waktu KARENA LAMAAA BGTT BUSWAY NYAA ️️️
55,Jalur TJ di jkt ada pembatas beton aja diterabas motor sama mobil pribadi wak wkw
56,trans yg tdk membingungkan hanya transtv trans7 dan transjakarta
57,Hello 27! Strawberry cheese cake x birthday candle. Aroma Store Wijilan Panembahan Kraton Kota Yogyakarta. https://t.co/FV8847rc6o
58,#INFOTRANSJAKARTA | Rute M11: Kampung Melayu - Pulo Gebang di Halte Flyover Jatinegara telah beroperasi normal kembali melayani pelanggan. #JAKI #PerluTahu #RuteM11
59,Mesin top up TJ error di semua halte mana pas banget lagi kartu gue abis w pulang gimana min @PT_Transjakarta https://t.co/2YEYx9x9Te
60,Insyaallah maret 2025 nanti rumahkuuu resmi ada kost gessss akuu di menteng jakpus yaa trus rumah aku strategis bgt 5 menit ke stasiun manggarai dan stasiun cikini trus juga halte busway pasar rumput buat yg kantoran cocok bgt Kost aku nanti perbulan 2 jt
61,NJIR GUE MW BISA NGGAKKK DI PAKE BUAT BUSWAY ALWOAKWAOAK gue kerja pake busway kemana mana pun busway. Love busway
62,Nonton voli japan vs italy #Paris2024 jam 18:00 dari hp mulai masih di kantor lanjut jalan ke halte tj selama di tj lalu naik ojol sampe rumah switch ke tv sambil makan naspad nyambi bales email baru kelar jam 20:45. Aq selama pertandingan: https://t.co/GCBvzNbb92
63,Ini kenapa pluit ga lewat lewat denpasar sih kakkk? udah nunggu 30 menit ini @PT_Transjakarta
64,Wah gila sih Skintific Perfect Stay Velvet Matte Cushion ketahanannya. Dipake seharian naik busway ojol MRT panas2an keringetan masih oke. Agak longsor di area T-Zone tapi cuma dikit sama di daerah kacamata tapi bekas jerawat gue di pipi masih ke cover
65,tj yang ini bintang 5 soalnya ada kacanya https://t.co/fio6veAgkr
66,Kak b11 / summarecon bekasi ada gak ya weekend? @PT_Transjakarta
67,Kesalahan trbesar gue lagi adalah Nyoba naik busway di jam pulang kerja di hari senin tujuan blok m - lt. Agung Agustus huruf keduanya g gegegegegelo
68,Mencari info kost area mampang prapatan/duren tiga budget max 1.8 khusus putri Klo bisa yg 5-10 menit dari busway
69,Salah naik busway. Ternyata si Busway ada yg reguler &amp; via tol dengan nomer jalur yg sama. Kurang nonton video orang jalan2 pake busway keknya ‍️‍️‍️
70,kangen naik busway tapi my usual route busnya di downgrade jd yg kecil 
71, kalo jalan ga bisa pelan dan berakhir nyusruk di tangga kosan 
72,FOTO: Kepadatan Transjakarta di Hari Pelantikan Prabowo-Griban: .. FOTO: Kepadatan Transjakarta di Hari Pelantikan Prabowo-Griban. Source: https://t.co/sv5u0Md3w2. DDHype News https://t.co/EMkxoCUop0 https://t.co/VbtBm9dLYy
73,turun busway mau naik krl malah masuk ke mrt
74,‼️MOTOR HILANG‼️ Halo Teman2 yang tinggal / lewat Glodok / Sawah Besar &amp; sekitarnya Telah HILANG - MOTOR VARIO 125- dg nomor PLAT : B 3030 PNR - warna MERAH lokasi terakhir di Halte Busway Glodok. Mohon bantuannya untuk yg melihat / menemukan dijalan / diforum jual beli https://t.co/f9WF9uxly0
75,ada ga ya rute transjakarta dr jakbar ke cibubur?
76,@xxxsre Hai Kak untuk rute tersebut tidak melayani di Bus Stop Cilandak Town Square. Untuk informasi rute tracking bus perencanaan perjalanan (trip planner) dan layanan Transjakarta selengkapnya dapat diakses melalui aplikasi TJ: Transjakarta ya. Terima kasih ^YMW
77,busway lama banget si datengnyaaaa
78,Ini mobil dan moror dan bus non busway yg pake jalur busway semoga pada meledak deh
79,Dari PPK kemayoran mau ke taman mini gimana ya rute tj nya? @PT_Transjakarta
80,13.13 evakuasi kendaraan mobil minibus yang menabrak separator busway di Jl. Sisingamangaraja setelah Bundaran Senayan arah Blok M. Proses evakuasi sudah selesai dilakukan &amp;situasi arus lalu-lintas dari Bundaran Senayan yang mengarah Blok M terpantau ramai lancar. @TMCPoldaMetro https://t.co/gb7i3bw2Tm
81,Ketar KIII ga @A_GitaJKT48 ?
82,Ngakak banget namanya Zoe Busway
83,Sore admin @PT_Transjakarta Saran untuk halte Rawamangun (UNJ) tolong disediakan mesin tap portable. Karena setiap hari pasti antri buat tap in/out. Dan itu bisa 10 menit sendiri antriannya krn harus keluar masuk. Smg bisa diadakan yg portable buat mecah antrian keluar/masuk hlt https://t.co/IX254XAn59
84,From: besok lo sekolah gak? Eh gue masih di bus anjir. Gue baru naik tj. Eh gue telat bapak gue baru nganter. To: besok gue ada kelas pagi. Mager dh jalan kaki bolak-balik kos. https://t.co/hjcvJg4FQX
85,Keinget beberapa minggu lalu lagi naik tj terus ga jauh di depan tj gue tuh ada bus gede yang klaksonnya tetotetot kenceng itu.. Itu anak kecil pada lari-larian ada yang pake sepeda di pinggir jalan ngejar2 bus sambil ngerekamin minta supirnya bunyiin klakson. Ngeri liatnya 
86,buat yang mau menghindar Manggarai mending naik Transjakarta aja langsung ke kalibata atau pasar Minggu karena masih sepi juga
87,sumpah demi apapun kalo pulang ke bekasi lewat cawang abis ngelewatin bawah patung pancoran gua bakal masuk jalur busway sampe terowongan cawang. tai kucing jadi pengendara yg baik gua gamau tua dijalan grgr proyek yang gak kelar-kelar
88,Guna mendukung sistem transportasi yang ramah lingkungan PT TransJakarta meluncurkan 200 unit bus raya terpadu listrik baru. Bus listrik ini diklaim bisa menghemat biaya bahan bakar hingga dua puluh persen. https://t.co/ns6OyEQkD6 https://t.co/ez2goVIbTL
89,Time to claim kuti iCousin yangu
90,Inilah kelakuan Polisi #Polri kita Pak @ListyoSigitP begitu lapor ditolak gak berani menindak ALPARD yg arogan anggota @TMCPoldaMetro juga membiarkan mobil ALPHARD hitam B 8335 TFS menerobos jalur Busway sementara masyarakat yg sama sama menerobos jalur busway pada ditilang.
91,Dear @PT_Transjakarta Udah 2 hari saya bayar 2 kali saat tap in dan tap out. Rugi dong kalo kaya gini ? https://t.co/pCGHlqazbx
92,WTS IMPACNATION MATSURI DAY 2 karena gw beli 2 days presale cuman gajadi nonton day 2 kecapean 60k nepis bisa COD wristband di halte busway cawang sentral-pinran koridor 9/9c
93,halo admin ada rute dari stasiun cawang ke gbk indonesia arena gak ya yang turunnya udah deket gate arenanya? thank you @PT_Transjakarta
94,GAGOOOOOO SI YUKI NGA YATA ANG BAGWA 
95,Ini Bollywood koodi pending Aamir Khan?
96,kak dari fatmawati 2 bisa langsung ke ui naik d21 nggak ya @PT_Transjakarta
97,Hari ini mau ke tiny tan udah siapin freebies tapi ketinggalan di busway woylah @PT_Transjakarta min bales dm saya min 
98,Minta tlng lampu di jembatan halte Grogol ke terminal grogol &amp; dpn Trisakti segera diperbaiki karena gelap sekali rawan tindakan kejahatan &amp; anak tangga ke terminal grogol tlng jgn terlalu curam bahaya sekali kemiringannya curam &amp; utk tapakan kaki jg kecil @PT_Transjakarta https://t.co/29JNkLqycA
99,berdiri di tj lagi red day bnr bnr mau pingsan 
100,jadi mikir buat beli motor sama jalan naik busway instead https://t.co/wjXzo245sv
