id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text,rand
1.92E+18,Fri May 16 21:58:56 +0000 2025,akubukanako,"@stravenues sutiyoso ini memang layak dijadikan ""bapak penggagas jakarta"" atau sejenisnya lah  banyak ide2 bagus yg lahir dari beliau. tapi baru terealisasikan di jaman2 gubernur setelah beliau  transjakarta satu contoh. dulu sering disebut ""busway"". abis tj harusnya bisa lanjut wateway sih",0,2,in,"@stravenues sutiyoso ini memang layak dijadikan ""bapak penggagas jakarta"" atau sejenisnya lah  banyak ide2 bagus yg lahir dari beliau. tapi baru terealisasikan di jaman2 gubernur setelah beliau  transjakarta satu contoh. dulu sering disebut ""busway"". abis tj harusnya bisa lanjut wateway sih","sutiyoso ini memang layak dijadikan "" bapak penggagas jakarta "" atau sejenisnya lah banyak ide2 bagus yg lahir dari beliau . tapi baru terealisasikan di jaman2 gubernur setelah beliau transjakarta satu contoh . dulu sering disebut "" busway "" . abis tj harusnya bisa lanjut wateway sih",0.010299236
1.92E+18,Sat May 10 04:20:11 +0000 2025,strawberrieste,"@PT_Transjakarta min mau tanya kl tj alsut-blok m, hari minggu paling pagi jam berapa min? trs nyampe ke senayan bank dki ga?",0,0,in,"@PT_Transjakarta min mau tanya kl tj alsut-blok m, hari minggu paling pagi jam berapa min? trs nyampe ke senayan bank dki ga?","pt_transjakarta min mau tanya kl tj alsut - blok m , hari minggu paling pagi jam berapa min ? trs nyampe ke senayan bank dki ga ?",0.010486601
1.92E+18,Wed May 14 15:53:35 +0000 2025,glowinggvrl,"@greedmongering mesti experience both sih emg buat bisa apresiasi how far public transportation di jkt have come haha apalagi yg liat sendiri jaman TJ cm ada bbrp koridor sampe skrg ada yg non BRT, KAI jaman ada kereta ekonomi masih bebas jualan di kereta, blm ada MRT/LRT…",0,0,in,"@greedmongering mesti experience both sih emg buat bisa apresiasi how far public transportation di jkt have come haha apalagi yg liat sendiri jaman TJ cm ada bbrp koridor sampe skrg ada yg non BRT, KAI jaman ada kereta ekonomi masih bebas jualan di kereta, blm ada MRT/LRT…","mesti experience both sih emg buat bisa apresiasi how far public transportation di jkt have come haha apalagi yg liat sendiri jaman TJ cm ada bbrp koridor sampe skrg ada yg non BRT , KAI jaman ada kereta ekonomi masih bebas jualan di kereta , blm ada MRT / LRT",0.010502787
1.92E+18,Mon May 12 08:06:02 +0000 2025,HunianAdrian,"Belum pernah, Aa! Aku kayaknya baru mau nyoba naik TJ besok, mumpung masih libur. Doain semoga nggak nyasar ya, Aa. :""]",0,0,in,"Belum pernah, Aa! Aku kayaknya baru mau nyoba naik TJ besok, mumpung masih libur. Doain semoga nggak nyasar ya, Aa. :""]","Belum pernah , Aa ! Aku kayaknya baru mau nyoba naik TJ besok , mumpung masih libur . Doain semoga nggak nyasar ya , Aa . : "" ]",0.01065883
1.92E+18,Wed May 14 13:02:01 +0000 2025,goldenhourmj,SEKKKK BENTARRR BAJUNYA KEK PAS NGONTEN SAMA TJ KZ FIXXXXX INI MAH ADA,0,0,in,SEKKKK BENTARRR BAJUNYA KEK PAS NGONTEN SAMA TJ KZ FIXXXXX INI MAH ADA,SEKKKK BENTARRR BAJUNYA KEK PAS NGONTEN SAMA TJ KZ FIXXXXX INI MAH ADA,0.011445417
1.92E+18,Thu May 08 13:48:06 +0000 2025,cewonu,pose lagi naik busway pas penuh https://t.co/usnuwWIdbO,0,0,in,pose lagi naik busway pas penuh https://t.co/usnuwWIdbO,pose lagi naik busway pas penuh,0.011447218
1.92E+18,Fri May 16 02:27:10 +0000 2025,kotajaktim,"#SobatJaktim! Walikota Jakarta Timur, Munjirin, mendampingi Gubernur DKI Jakarta, Pramono Anung, meresmikan layanan transportasi baru Transjabodetabek rute B41 (Cawang–Vida Bekasi), di Halte Transjakarta UKI Cawang, Kel Cawang, Kec Kramat Jati, Jakarta Timur, Kamis (15/5/2025). https://t.co/cjbOzZe8ZA",0,0,in,"#SobatJaktim! Walikota Jakarta Timur, Munjirin, mendampingi Gubernur DKI Jakarta, Pramono Anung, meresmikan layanan transportasi baru Transjabodetabek rute B41 (Cawang–Vida Bekasi), di Halte Transjakarta UKI Cawang, Kel Cawang, Kec Kramat Jati, Jakarta Timur, Kamis (15/5/2025). https://t.co/cjbOzZe8ZA","! Walikota Jakarta Timur , Munjirin , mendampingi Gubernur DKI Jakarta , Pramono Anung , meresmikan layanan transportasi baru Transjabodetabek rute B41 ( CawangVida Bekasi ) , di Halte Transjakarta UKI Cawang , Kel Cawang , Kec Kramat Jati , Jakarta Timur , Kamis ( 15 / 5 / 2025 ) .",0.011505659
1.92E+18,Mon May 12 03:30:52 +0000 2025,kyeomunikasi,mmm kalo dipikir-pikir lucu juga ya kalo misal dokyeom tinggal di alsut abistu dokyeom sama gw naik tj rute alsut-blok m yang baru dibangun beberapa bulan itu abis itu kita mengelilingi blok m abistu pas di blok m gw capek jalan terus dokyeom gendong gw ala ala princess gitu,0,0,in,mmm kalo dipikir-pikir lucu juga ya kalo misal dokyeom tinggal di alsut abistu dokyeom sama gw naik tj rute alsut-blok m yang baru dibangun beberapa bulan itu abis itu kita mengelilingi blok m abistu pas di blok m gw capek jalan terus dokyeom gendong gw ala ala princess gitu,mmm kalo dipikir - pikir lucu juga ya kalo misal dokyeom tinggal di alsut abistu dokyeom sama gw naik tj rute alsut - blok m yang baru dibangun beberapa bulan itu abis itu kita mengelilingi blok m abistu pas di blok m gw capek jalan terus dokyeom gendong gw ala ala princess gitu,0.012128137
1.92E+18,Sat May 10 06:38:53 +0000 2025,FelixSGL1,"@alexanderdrspan Yang tadinya warga DKI yang tinggal dengan NJOP &lt;2M harus bayar tiap tahun 5-10 Juta untuk bayar PBB digratiskan, trus Jaklingko juga dimana Angkot gratis, kalo yang 15 golongan TJ-LRT-MRT, blom yang nerima KJP, Kartu Lansia n Difabel, blom yang BPJS PBI Kelas III DKI free iuran",0,1,in,"@alexanderdrspan Yang tadinya warga DKI yang tinggal dengan NJOP &lt;2M harus bayar tiap tahun 5-10 Juta untuk bayar PBB digratiskan, trus Jaklingko juga dimana Angkot gratis, kalo yang 15 golongan TJ-LRT-MRT, blom yang nerima KJP, Kartu Lansia n Difabel, blom yang BPJS PBI Kelas III DKI free iuran","Yang tadinya warga DKI yang tinggal dengan NJOP < 2M harus bayar tiap tahun 5 - 10 Juta untuk bayar PBB digratiskan , trus Jaklingko juga dimana Angkot gratis , kalo yang 15 golongan TJ - LRT - MRT , blom yang nerima KJP , Kartu Lansia n Difabel , blom yang BPJS PBI Kelas III DKI free iuran",0.012132723
1.92E+18,Sat May 10 11:08:54 +0000 2025,chichitheshoong,@tahilalats Buat TJ dongg kakkk,0,0,in,@tahilalats Buat TJ dongg kakkk,Buat TJ dongg kakkk,0.012485881
1.92E+18,Wed May 14 14:34:35 +0000 2025,adekneno,MENANGIN TJ PLSSS😭😭😭😭 AKU KANGEN ANJAY SM MEREKA,0,0,in,MENANGIN TJ PLSSS😭😭😭😭 AKU KANGEN ANJAY SM MEREKA,MENANGIN TJ PLSSS AKU KANGEN ANJAY SM MEREKA,0.013445381
1.92E+18,Wed May 14 14:30:53 +0000 2025,xx99mount,@xx99sabrina pp naik tj,0,0,in,@xx99sabrina pp naik tj,pp naik tj,0.014018037
1.92E+18,Fri May 16 11:31:09 +0000 2025,ihantsn,eh astaghfirullah gw masih di tj kOCAK foto kutangan lu ini diliat banyak org (mau gw gatekeep hUFT) https://t.co/PZbwMxkmaB,0,0,in,eh astaghfirullah gw masih di tj kOCAK foto kutangan lu ini diliat banyak org (mau gw gatekeep hUFT) https://t.co/PZbwMxkmaB,eh astaghfirullah gw masih di tj kOCAK foto kutangan lu ini diliat banyak org ( mau gw gatekeep hUFT ),0.014255609
1.92E+18,Sat May 10 13:23:45 +0000 2025,haerindaeyo,"Makasih buat bapak yang masih anter jemput anaknya saat wfo😇🙏 walau halfway jalan ke kantor karena di drop off deket kantor dia biar bisa lanjut naik tj, dan turun di halte tj terdekat buat dijemput lg😅",0,0,in,"Makasih buat bapak yang masih anter jemput anaknya saat wfo😇🙏 walau halfway jalan ke kantor karena di drop off deket kantor dia biar bisa lanjut naik tj, dan turun di halte tj terdekat buat dijemput lg😅","Makasih buat bapak yang masih anter jemput anaknya saat wfo walau halfway jalan ke kantor karena di drop off deket kantor dia biar bisa lanjut naik tj , dan turun di halte tj terdekat buat dijemput lg",0.014473647
1.92E+18,Sat May 10 11:42:39 +0000 2025,tryitwithmi_,"@wandasepta Iyaaah, tadi kebetulan lewat pas naik tj",0,0,in,"@wandasepta Iyaaah, tadi kebetulan lewat pas naik tj","Iyaaah , tadi kebetulan lewat pas naik tj",0.015845123
1.92E+18,Wed May 14 17:17:22 +0000 2025,fmuchtaar_,@WargaFeminis Lu pengen jadi bus kek TJ za?,0,0,in,@WargaFeminis Lu pengen jadi bus kek TJ za?,Lu pengen jadi bus kek TJ za ?,0.016541671
1.92E+18,Fri May 16 11:02:35 +0000 2025,gyummijelly,EMANG KAGA AMAN ANJIR BUKA TWITTER DI BUSWAY,0,0,in,EMANG KAGA AMAN ANJIR BUKA TWITTER DI BUSWAY,EMANG KAGA AMAN ANJIR BUKA TWITTER DI BUSWAY,0.01688639
1.92E+18,Wed May 14 13:48:50 +0000 2025,oraiina,ini serius w nunggu tj sejam????????,0,0,in,ini serius w nunggu tj sejam????????,ini serius w nunggu tj sejam ? ? ? ? ? ? ? ?,0.017186541
1.92E+18,Fri May 16 10:53:51 +0000 2025,aldithedexstrom,"@dynmcprogishard @fmuchtaar_ Kompetisi apa bang, jabar aja blm ada transum kaya TJ, MRT, LRT aja masih satu jalur ke arah jakarta.  Minimal bikin kaya TJ dulu deh biar enak kemana²",0,16,in,"@dynmcprogishard @fmuchtaar_ Kompetisi apa bang, jabar aja blm ada transum kaya TJ, MRT, LRT aja masih satu jalur ke arah jakarta.  Minimal bikin kaya TJ dulu deh biar enak kemana²","Kompetisi apa bang , jabar aja blm ada transum kaya TJ , MRT , LRT aja masih satu jalur ke arah jakarta . Minimal bikin kaya TJ dulu deh biar enak kemana",0.017458773
1.92E+18,Mon May 12 06:25:42 +0000 2025,DiskominfoMKS,14.25 Arus lalin sekitar Masjid Chengho Tj. Bunga terpantau lancar. Tetap Jaga Jarak minimal dan jarak aman saat berkendara. *gb #CCTVDiskominfoMKS  #lalinmks https://t.co/quMM2WYG9w,0,0,in,14.25 Arus lalin sekitar Masjid Chengho Tj. Bunga terpantau lancar. Tetap Jaga Jarak minimal dan jarak aman saat berkendara. *gb #CCTVDiskominfoMKS  #lalinmks https://t.co/quMM2WYG9w,14 . 25 Arus lalin sekitar Masjid Chengho Tj . Bunga terpantau lancar . Tetap Jaga Jarak minimal dan jarak aman saat berkendara . * gb,0.017985825
1.92E+18,Sat May 10 11:31:01 +0000 2025,biibiiibubub,"@PT_Transjakarta tolong dong ini petugas yg jagain transjakarta s21 di mbloc kemana???? gamau jagain gara2 ujan??? ini penumpang aja nunggu keujanan, ini tu malem minggu ya jelas rame bangettt, masa gaada petugas kan jd chaos ga beraturan. MINIMAL BIKIN HALTE LAYAK",0,0,in,"@PT_Transjakarta tolong dong ini petugas yg jagain transjakarta s21 di mbloc kemana???? gamau jagain gara2 ujan??? ini penumpang aja nunggu keujanan, ini tu malem minggu ya jelas rame bangettt, masa gaada petugas kan jd chaos ga beraturan. MINIMAL BIKIN HALTE LAYAK","pt_transjakarta tolong dong ini petugas yg jagain transjakarta s21 di mbloc kemana ? ? ? ? gamau jagain gara2 ujan ? ? ? ini penumpang aja nunggu keujanan , ini tu malem minggu ya jelas rame bangettt , masa gaada petugas kan jd chaos ga beraturan . MINIMAL BIKIN HALTE LAYAK",0.018145583
1.92E+18,Mon May 12 16:52:57 +0000 2025,piscesfivethree,mana besok naik tj lagii,0,0,in,mana besok naik tj lagii,mana besok naik tj lagii,0.018277417
1.92E+18,Fri May 16 13:35:44 +0000 2025,ijustjj,@PT_Transjakarta  aduh ini gimana ya aku kan isi saldo kartu di vending machine transjakarta halte departemen pertanian  pembayaran menggunakan qris saldo aku di atm kepotong tapi di kartu ga masuk  udaa 14 hari tapi ga ada refund atau pesan dari sana https://t.co/DTsqfknOqT,0,0,in,@PT_Transjakarta  aduh ini gimana ya aku kan isi saldo kartu di vending machine transjakarta halte departemen pertanian  pembayaran menggunakan qris saldo aku di atm kepotong tapi di kartu ga masuk  udaa 14 hari tapi ga ada refund atau pesan dari sana https://t.co/DTsqfknOqT,pt_transjakarta aduh ini gimana ya aku kan isi saldo kartu di vending machine transjakarta halte departemen pertanian pembayaran menggunakan qris saldo aku di atm kepotong tapi di kartu ga masuk udaa 14 hari tapi ga ada refund atau pesan dari sana,0.018341428
1.92E+18,Mon May 12 15:13:35 +0000 2025,TAmaliaknj,"@worksfess angkot brgkt 5k tj 3,5k balik jaklingko free nyambung angkot biasa 5k total:13,5k",0,0,in,"@worksfess angkot brgkt 5k tj 3,5k balik jaklingko free nyambung angkot biasa 5k total:13,5k","angkot brgkt 5k tj 3 , 5k balik jaklingko free nyambung angkot biasa 5k total : 13 , 5k",0.018363604
1.92E+18,Thu May 08 14:24:20 +0000 2025,kanjengratulija,gara gara @nouvelletales gue jadi tim tj &gt; krl,0,0,in,gara gara @nouvelletales gue jadi tim tj &gt; krl,gara gara gue jadi tim tj > krl,0.01845397
1.92E+18,Mon May 12 00:04:03 +0000 2025,ownkindness,"Hi min @PT_Transjakarta tolong bantu jelaskan rute naik TJ jika ingin berangkat dari area sekitar kebon nanas jakarta timur menuju alam sutera, naik nomor berapa aja ya dan transit mana aja? Thanks in advance",0,0,in,"Hi min @PT_Transjakarta tolong bantu jelaskan rute naik TJ jika ingin berangkat dari area sekitar kebon nanas jakarta timur menuju alam sutera, naik nomor berapa aja ya dan transit mana aja? Thanks in advance","Hi min pt_transjakarta tolong bantu jelaskan rute naik TJ jika ingin berangkat dari area sekitar kebon nanas jakarta timur menuju alam sutera , naik nomor berapa aja ya dan transit mana aja ? Thanks in advance",0.018521671
1.92E+18,Sat May 10 07:37:48 +0000 2025,sellerettes,"@mayounice0505 Iyaa kaa, td mau naik tj tp macet bgt. Ka mayang juga tiati😆",0,0,in,"@mayounice0505 Iyaa kaa, td mau naik tj tp macet bgt. Ka mayang juga tiati😆","Iyaa kaa , td mau naik tj tp macet bgt . Ka mayang juga tiati",0.018537753
1.92E+18,Fri May 16 03:30:32 +0000 2025,webelshinta,Polisi tangkap pencuri laptop yang beraksi di bus Transjakarta https://t.co/ttpVw2oDp0 https://t.co/fBMNd9VbBn,0,0,in,Polisi tangkap pencuri laptop yang beraksi di bus Transjakarta https://t.co/ttpVw2oDp0 https://t.co/fBMNd9VbBn,Polisi tangkap pencuri laptop yang beraksi di bus Transjakarta,0.018616644
1.92E+18,Wed May 14 21:58:04 +0000 2025,whitechocokl,"@afiafi26 Ilegal reader dua pihak pasti ada aja tp it's always jo stan yg koar2 langsung nuding2 tj stan dan jadiin hal itu sbg fanwar. Tj stan diem aja mrk nunjuk2 loh. Pas dibilangin buat jangan jadiin ajang fanwar malah gak sadar diri. Kumpulan orang gak waras, obses bgt sama tj stan",0,0,in,"@afiafi26 Ilegal reader dua pihak pasti ada aja tp it's always jo stan yg koar2 langsung nuding2 tj stan dan jadiin hal itu sbg fanwar. Tj stan diem aja mrk nunjuk2 loh. Pas dibilangin buat jangan jadiin ajang fanwar malah gak sadar diri. Kumpulan orang gak waras, obses bgt sama tj stan","Ilegal reader dua pihak pasti ada aja tp it ' s always jo stan yg koar2 langsung nuding2 tj stan dan jadiin hal itu sbg fanwar . Tj stan diem aja mrk nunjuk2 loh . Pas dibilangin buat jangan jadiin ajang fanwar malah gak sadar diri . Kumpulan orang gak waras , obses bgt sama tj stan",0.018818073
1.92E+18,Fri May 16 01:17:02 +0000 2025,chairunnisa_nm,"@PT_Transjakarta TJ-399, L13E Puribeta - Flyover Kuningan, Transjakarta Khusus Wanita. dan hampir semua Transjakarta rute 13, 13B dan L13E disetiap weekday AC nya tidak berasa. minta tolong bantuannya ya kak, terima kasih sebelumnya",0,0,in,"@PT_Transjakarta TJ-399, L13E Puribeta - Flyover Kuningan, Transjakarta Khusus Wanita. dan hampir semua Transjakarta rute 13, 13B dan L13E disetiap weekday AC nya tidak berasa. minta tolong bantuannya ya kak, terima kasih sebelumnya","pt_transjakarta TJ - 399 , L13E Puribeta - Flyover Kuningan , Transjakarta Khusus Wanita . dan hampir semua Transjakarta rute 13 , 13B dan L13E disetiap weekday AC nya tidak berasa . minta tolong bantuannya ya kak , terima kasih sebelumnya",0.018971261
1.92E+18,Tue May 06 13:54:13 +0000 2025,kazushorimitski,"anjg, padahal aku gak da niat buat nyetel arashi. tapi ke play sendiri njiirrr 💀  playlist gue kan belakangan cuma fanta, sz/tsz, tj, kp, news, kmft2, ae  🤣 https://t.co/myBSMRrjnC",0,1,in,"anjg, padahal aku gak da niat buat nyetel arashi. tapi ke play sendiri njiirrr 💀  playlist gue kan belakangan cuma fanta, sz/tsz, tj, kp, news, kmft2, ae  🤣 https://t.co/myBSMRrjnC","anjg , padahal aku gak da niat buat nyetel arashi . tapi ke play sendiri njiirrr playlist gue kan belakangan cuma fanta , sz / tsz , tj , kp , news , kmft2 , ae",0.021360734
1.92E+18,Fri May 16 08:42:44 +0000 2025,syusyupisyangg,"bisa ga si kalo di tj tuh diem gausah bacott, orang capek keberisikan denger lu bercanda",0,0,in,"bisa ga si kalo di tj tuh diem gausah bacott, orang capek keberisikan denger lu bercanda","bisa ga si kalo di tj tuh diem gausah bacott , orang capek keberisikan denger lu bercanda",0.021727507
1.92E+18,Mon May 12 12:53:04 +0000 2025,Raineyyonly,"Lgi nunggu tj ketemu kucing yang lucu bangett, beda bngt sama majikanku yg suka lupa diri tapi aku sayang mereka 🤧❤ https://t.co/RTCX3EamxV",0,1,in,"Lgi nunggu tj ketemu kucing yang lucu bangett, beda bngt sama majikanku yg suka lupa diri tapi aku sayang mereka 🤧❤ https://t.co/RTCX3EamxV","Lgi nunggu tj ketemu kucing yang lucu bangett , beda bngt sama majikanku yg suka lupa diri tapi aku sayang mereka",0.022315377
1.92E+18,Mon May 12 15:49:12 +0000 2025,Mehlahpft,@sushiboy_20 yuk pindahh ke daerah tj duren,0,0,in,@sushiboy_20 yuk pindahh ke daerah tj duren,yuk pindahh ke daerah tj duren,0.022412145
1.92E+18,Fri May 16 02:24:35 +0000 2025,nochetoile,@xoxofirstclasss WKAKWKWKWK asli sih. poin plusnya dia tergolong deket dari 2 stasiun (tangerang &amp; tanah tinggi) sekaligus terjangkau transum macem tayo &amp; tj,0,0,in,@xoxofirstclasss WKAKWKWKWK asli sih. poin plusnya dia tergolong deket dari 2 stasiun (tangerang &amp; tanah tinggi) sekaligus terjangkau transum macem tayo &amp; tj,WKAKWKWKWK asli sih . poin plusnya dia tergolong deket dari 2 stasiun ( tangerang & tanah tinggi ) sekaligus terjangkau transum macem tayo & tj,0.022645247
